epoch,accuracy,loss,val_accuracy,val_loss
0,0.7260000109672546,0.7988253831863403,0.7862499952316284,0.4170285761356354
1,0.8370000123977661,0.3847641050815582,0.8849999904632568,0.29883381724357605
2,0.8790000081062317,0.30301231145858765,0.8687499761581421,0.32656329870224
3,0.8970000147819519,0.25692614912986755,0.8162500262260437,0.4703127145767212
4,0.9110000133514404,0.22239980101585388,0.90625,0.25675374269485474
5,0.9279999732971191,0.17691974341869354,0.9049999713897705,0.3049377202987671
6,0.9419999718666077,0.16161857545375824,0.8912500143051147,0.4006918668746948
7,0.9369999766349792,0.14577476680278778,0.8237500190734863,0.5847276449203491
8,0.9549999833106995,0.13241824507713318,0.8149999976158142,0.7022769451141357
9,0.9570000171661377,0.11388032883405685,0.893750011920929,0.4159843325614929
